Name, Team, Debut, Last, Tests, Inns, NO, Runs, BF, Bat. Av., Bat. SR, 200s, 100s, 50s, HS, , Balls, Maidens, Runs, Wickets, Bowl. Av, Bowl. ER, Bowl. SR, 5xW, 10xW, BBR, -, BBW, Catches, Stumpings, MOTM, Capt G, Capt W, Capt L
AJ Stewart, 1990s England,     , 2020, 5, 20, 1, 618, 1126, 32.53, 54.9, 0, 0, 5, 64,  , 400, 10, 224, 9, 24.89, 3.36, 44.4, 0, 0, inf, -, 0, 3, 0, 0, 10, 0, 10
AJ Stewart, 1990s England,     , 2020, 5, 20, 1, 538, 957, 28.32, 56.2, 0, 1, 2, 108,  , 400, 10, 224, 9, 24.89, 3.36, 44.4, 0, 0, inf, -, 0, 20, 0, 0, 10, 0, 10
AR Caddick, 1990s England,     , 2020, 5, 20, 4, 290, 549, 18.12, 52.8, 0, 0, 0, 24,  , 1288, 22, 756, 20, 37.8, 3.52, 64.4, 0, 0, 53, -, 3, 3, 0, 0, 10, 0, 10
ARC Fraser, 1990s England,     , 2020, 5, 20, 1, 309, 648, 16.26, 47.7, 0, 0, 0, 23,  , 1666, 24, 968, 26, 37.23, 3.49, 64.1, 0, 0, 52, -, 3, 1, 0, 0, 10, 0, 10
D Gough, 1990s England,     , 2020, 5, 20, 3, 298, 616, 17.53, 48.4, 0, 0, 0, 22,  , 1468, 20, 811, 24, 33.79, 3.31, 61.2, 0, 0, 76, -, 4, 0, 0, 0, 10, 0, 10
GP Thorpe, 1990s England,     , 2020, 5, 20, 1, 696, 1242, 36.63, 56.0, 0, 0, 7, 80,  , 478, 10, 268, 11, 24.36, 3.36, 43.5, 0, 0, 11, -, 1, 2, 0, 0, 10, 0, 10
MA Atherton, 1990s England,     , 2020, 5, 20, 2, 622, 1268, 34.56, 49.1, 0, 1, 3, 155, *, 412, 10, 230, 9, 25.56, 3.35, 45.8, 0, 0, 6, -, 0, 4, 0, 0, 10, 0, 10
MA Butcher, 1990s England,     , 2020, 5, 20, 2, 657, 1155, 36.5, 56.9, 0, 3, 0, 126,  , 479, 10, 292, 9, 32.44, 3.66, 53.2, 0, 0, 3, -, 0, 4, 0, 0, 10, 0, 10
MA Ealham, 1990s England,     , 2020, 5, 20, 1, 369, 778, 19.42, 47.4, 0, 0, 0, 45,  , 1343, 17, 859, 26, 33.04, 3.84, 51.7, 0, 0, 55, -, 4, 0, 0, 0, 10, 0, 10
NV Knight, 1990s England,     , 2020, 5, 20, 1, 349, 693, 18.37, 50.4, 0, 0, 1, 53,  , 400, 10, 224, 9, 24.89, 3.36, 44.4, 0, 0, inf, -, 0, 4, 0, 0, 10, 0, 10
PCR Tufnell, 1990s England,     , 2020, 5, 20, 3, 242, 493, 14.24, 49.1, 0, 0, 0, 9,  , 1496, 19, 914, 23, 39.74, 3.67, 65.0, 0, 0, 48, -, 4, 2, 0, 0, 10, 0, 10
B Lee, Super Stars,     , 2020, 5, 21, 9, 320, 564, 26.67, 56.7, 0, 0, 0, 28,  , 1566, 31, 847, 30, 28.23, 3.25, 52.2, 2, 0, 96, -, 6, 2, 0, 0, 10, 10, 0
CH Gayle, Super Stars,     , 2020, 5, 21, 1, 612, 1154, 30.6, 53.0, 0, 1, 3, 106,  , 598, 14, 320, 11, 29.09, 3.21, 54.4, 0, 0, 9, -, 1, 5, 0, 0, 10, 10, 0
DL Haynes, Super Stars,     , 2020, 5, 21, 3, 807, 1429, 44.83, 56.5, 0, 3, 1, 139, *, 400, 10, 224, 9, 24.89, 3.36, 44.4, 0, 0, inf, -, 0, 1, 0, 3, 10, 10, 0
GL Jessop, Super Stars,     , 2020, 5, 21, 4, 442, 736, 26.0, 60.1, 0, 0, 2, 70,  , 706, 15, 396, 12, 33.0, 3.37, 58.8, 0, 0, 11, -, 1, 2, 0, 0, 10, 10, 0
IVA Richards, Super Stars,     , 2020, 5, 21, 3, 803, 1389, 44.61, 57.8, 1, 2, 1, 233,  , 424, 10, 233, 10, 23.3, 3.3, 42.4, 0, 0, 9, -, 1, 4, 0, 1, 10, 10, 0
L Klusener, Super Stars,     , 2020, 5, 21, 4, 571, 949, 33.59, 60.2, 0, 2, 1, 122,  , 1339, 28, 664, 28, 23.71, 2.98, 47.8, 1, 0, 60, -, 6, 5, 0, 0, 10, 10, 0
NJ Astle, Super Stars,     , 2020, 5, 21, 4, 451, 845, 26.53, 53.4, 0, 0, 2, 68,  , 952, 20, 543, 11, 49.36, 3.42, 86.5, 0, 0, 45, -, 3, 9, 0, 0, 10, 10, 0
RC Russell, Super Stars,     , 2020, 5, 21, 4, 322, 636, 18.94, 50.6, 0, 0, 0, 22,  , 400, 10, 224, 9, 24.89, 3.36, 44.4, 0, 0, inf, -, 0, 12, 1, 0, 10, 10, 0
SR Tendulkar, Super Stars,     , 2020, 5, 21, 2, 676, 1086, 35.58, 62.2, 0, 2, 1, 139,  , 424, 10, 244, 9, 27.11, 3.45, 47.1, 0, 0, 20, -, 0, 7, 0, 1, 10, 10, 0
Shahid Afridi, Super Stars,     , 2020, 5, 21, 2, 407, 658, 21.42, 61.9, 0, 0, 1, 50,  , 1227, 19, 721, 26, 27.73, 3.53, 47.2, 1, 0, 65, -, 8, 6, 0, 0, 10, 10, 0
Shoaib Akhtar, Super Stars,     , 2020, 5, 21, 7, 244, 465, 17.43, 52.5, 0, 0, 0, 13,  , 1406, 22, 676, 30, 22.53, 2.88, 46.9, 0, 0, 31, -, 4, 7, 0, 0, 10, 10, 0
