Player, Team, Opposition, #, Year, Venue, Result, Runs, Balls, Out, 4s, 6s, Score, Wickets
L Hutton, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 28, 29, c. RT Ponting b. CL Cairns, 4, 0, 593, 5, 
JB Hobbs, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 64, 116, lbw. b. M Muralitharan, 4, 0, 593, 5, 
DG Bradman, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 153, 238, c. BC Lara b. GD McGrath, 10, 0, 593, 5, 
RT Ponting, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 213, 311, c. DG Bradman b. GD McGrath, 20, 0, 593, 5, 
SB Smith, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 22, 35, b. GD McGrath, 2, 0, 593, 5, 
KC Sangakkara, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 80, 144, not out, 7, 0, 593, 5, 
GS Sobers, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 8, 11, not out, 1, 0, 593, 5, 
Imran Khan, Pakistan, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 0, not out, 0, 0, 593, 5, 
GA Lohmann, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 0, not out, 0, 0, 593, 5, 
SK Warne, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 0, not out, 0, 0, 593, 5, 
M Muralitharan, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 0, not out, 0, 0, 593, 5, 
ML Hayden, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 23, 53, c. †KC Sangakkara b. GS Sobers, 2, 0, 581, 10, 
DG Bradman, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 77, 173, c. RT Ponting b. GS Sobers, 3, 0, 581, 10, 
SR Tendulkar, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 138, 252, lbw. b. Imran Khan, 9, 0, 581, 10, 
BC Lara, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 42, 83, c. RT Ponting b. Imran Khan, 2, 0, 581, 10, 
RT Ponting, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 40, 74, c. †KC Sangakkara b. Imran Khan, 2, 0, 581, 10, 
KC Sangakkara, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 85, 137, c. GA Lohmann b. Imran Khan, 7, 1, 581, 10, 
JH Kallis, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 116, 210, not out, 11, 0, 581, 10, 
CL Cairns, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 32, 62, c. M Muralitharan b. GA Lohmann, 2, 1, 581, 10, 
SK Warne, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 3, 7, c. DG Bradman b. GA Lohmann, 0, 0, 581, 10, 
GD McGrath, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 2, lbw. b. Imran Khan, 0, 0, 581, 10, 
M Muralitharan, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 3, lbw. b. Imran Khan, 0, 0, 581, 10, 
L Hutton, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 42, 121, b. CL Cairns, 2, 0, 230, 4, 
JB Hobbs, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 7, 20, c. ML Hayden b. JH Kallis, 1, 0, 230, 4, 
DG Bradman, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 102, 226, not out, 4, 0, 230, 4, 
RT Ponting, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 36, 62, b. GD McGrath, 4, 0, 230, 4, 
SB Smith, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 1, 13, c. †KC Sangakkara b. SK Warne, 0, 0, 230, 4, 
KC Sangakkara, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 35, 86, not out, 4, 0, 230, 4, 
GS Sobers, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 0, not out, 0, 0, 230, 4, 
Imran Khan, Pakistan, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 0, not out, 0, 0, 230, 4, 
GA Lohmann, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 0, not out, 0, 0, 230, 4, 
SK Warne, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 0, not out, 0, 0, 230, 4, 
M Muralitharan, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 0, not out, 0, 0, 230, 4, 
ML Hayden, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 1, 2, b. GA Lohmann, 0, 0, 158, 4, 
DG Bradman, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 72, 133, not out, 5, 0, 158, 4, 
SR Tendulkar, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 11, 19, c. GA Lohmann b. Imran Khan, 1, 0, 158, 4, 
BC Lara, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 17, 16, c. SK Warne b. GA Lohmann, 2, 0, 158, 4, 
RT Ponting, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 4, 2, c. RT Ponting b. GA Lohmann, 1, 0, 158, 4, 
KC Sangakkara, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 44, 93, not out, 2, 0, 158, 4, 
JH Kallis, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 0, not out, 0, 0, 158, 4, 
